,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q4719994,Alexander Ruthven,1580-01-22T00:00:00Z,,,1600-08-05T00:00:00Z,https://en.wikipedia.org/wiki/Alexander Ruthven,7827388
1,Q1965275,"John Ruthven, 3rd Earl of Gowrie",1577-01-01T00:00:00Z,Perth,Point(-3.431666666 56.395277777),1600-08-05T00:00:00Z,"https://en.wikipedia.org/wiki/John Ruthven, 3rd Earl of Gowrie",1313416
2,Q7442584,Sebastiano Montelupi,1516-01-01T00:00:00Z,,,1600-08-18T00:00:00Z,https://en.wikipedia.org/wiki/Sebastiano Montelupi,37318418
3,Q6235454,John Glanville,1542-01-01T00:00:00Z,,,1600-01-01T00:00:00Z,https://en.wikipedia.org/wiki/John Glanville (judge),23490779
4,Q1113964,Antoine du Verdier,1544-11-21T00:00:00Z,Montbrison,Point(4.065277777 45.6075),1600-09-25T00:00:00Z,https://en.wikipedia.org/wiki/Antoine du Verdier,19159011
5,Q1355663,Tadeáš Hájek,1525-12-11T00:00:00Z,Prague,Point(14.416666666 50.083333333),1600-09-01T00:00:00Z,https://en.wikipedia.org/wiki/Tadeáš Hájek,934779
6,Q1355663,Tadeáš Hájek,1525-10-01T00:00:00Z,Prague,Point(14.416666666 50.083333333),1600-09-01T00:00:00Z,https://en.wikipedia.org/wiki/Tadeáš Hájek,934779
7,Q5409806,William More,1520-01-30T00:00:00Z,,,1600-07-20T00:00:00Z,https://en.wikipedia.org/wiki/William More (died 1600),36688507
8,Q7024541,Nicasius de Sille,1543-08-13T00:00:00Z,Mechelen,Point(4.480277777 51.028055555),1600-08-22T00:00:00Z,https://en.wikipedia.org/wiki/Nicasius de Sille,25913603
9,Q493688,Claude Le Jeune,1529-01-01T00:00:00Z,Valenciennes,Point(3.525 50.359166666),1600-09-01T00:00:00Z,https://en.wikipedia.org/wiki/Claude Le Jeune,1634292
10,Q493688,Claude Le Jeune,1530-01-01T00:00:00Z,Valenciennes,Point(3.525 50.359166666),1600-09-01T00:00:00Z,https://en.wikipedia.org/wiki/Claude Le Jeune,1634292
11,Q493688,Claude Le Jeune,1528-01-01T00:00:00Z,Valenciennes,Point(3.525 50.359166666),1600-09-01T00:00:00Z,https://en.wikipedia.org/wiki/Claude Le Jeune,1634292
12,Q17484491,Jean Kincaid,1579-01-01T00:00:00Z,Scotland,Point(-5.0 57.0),1600-07-05T00:00:00Z,https://en.wikipedia.org/wiki/Jean Kincaid,43468567
13,Q256864,Hosokawa Gracia,1563-01-01T00:00:00Z,,,1600-07-17T00:00:00Z,https://en.wikipedia.org/wiki/Hosokawa Gracia,573972
14,Q10565565,Mizuno Tadashige,1541-01-01T00:00:00Z,,,1600-08-27T00:00:00Z,https://en.wikipedia.org/wiki/Mizuno Tadashige,355606
15,Q2425891,Thomas Lucy,1532-05-04T00:00:00Z,,,1600-07-07T00:00:00Z,https://en.wikipedia.org/wiki/Thomas Lucy,1710745
16,Q2425891,Thomas Lucy,1532-05-04T00:00:00Z,,,1600-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Thomas Lucy,1710745
17,Q483392,Queen Uiin,1555-01-01T00:00:00Z,Joseon,Point(126.983333333 37.533333333),1600-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Queen Uiin,33964896
