,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q5339361,Edmund Calamy,1600-02-01T00:00:00Z,London,Point(-0.1275 51.507222222),1666-10-29T00:00:00Z,https://en.wikipedia.org/wiki/Edmund Calamy the Elder,196359.0
1,Q194691,Friedrich Spanheim,1600-01-01T00:00:00Z,Amberg,Point(11.848333333 49.444444444),1649-05-14T00:00:00Z,https://en.wikipedia.org/wiki/Friedrich Spanheim,2334318.0
2,Q2158629,Robert Roberthin,1600-03-03T00:00:00Z,Zalewo,Point(19.610277777 53.846111111),1648-04-07T00:00:00Z,https://en.wikipedia.org/wiki/Robert Roberthin,42358364.0
3,Q2158629,Robert Roberthin,1600-03-03T00:00:00Z,Zalewo,Point(19.60519 53.84534),1648-04-07T00:00:00Z,https://en.wikipedia.org/wiki/Robert Roberthin,42358364.0
4,Q155961,Clement IX,1600-01-28T00:00:00Z,Pistoia,Point(10.916666666 43.933333333),1669-12-09T00:00:00Z,https://en.wikipedia.org/wiki/Pope Clement IX,24122.0
5,Q6788057,Matsudaira Norinaga,1600-02-26T00:00:00Z,,,1654-03-19T00:00:00Z,https://en.wikipedia.org/wiki/Matsudaira Norinaga,29226896.0
6,Q2627622,Alexander Keirincx,1600-01-23T00:00:00Z,Antwerp,Point(4.399722222 51.221111111),1652-10-07T00:00:00Z,https://en.wikipedia.org/wiki/Alexander Keirincx,14198399.0
7,Q2657808,George Ghica,1600-03-03T00:00:00Z,Veles,Point(21.775277777 41.715277777),1664-11-02T00:00:00Z,https://en.wikipedia.org/wiki/George Ghica,411132.0
8,Q4937421,Elisabet Juliana Banér,1600-01-22T00:00:00Z,Erbach,Point(8.993055555 49.656944444),1640-05-29T00:00:00Z,https://en.wikipedia.org/wiki/Elisabet Juliana Banér,30103920.0
9,Q1684943,Jean-Joseph Surin,1600-02-06T00:00:00Z,,,1665-04-22T00:00:00Z,https://en.wikipedia.org/wiki/Jean-Joseph Surin,11441994.0
10,Q16205152,Matthew Brend,1600-02-06T00:00:00Z,,,1659-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Matthew Brend,39199494.0
11,Q710176,Gabriel Naudé,1600-02-02T00:00:00Z,Paris,Point(2.351388888 48.856944444),1653-07-10T00:00:00Z,https://en.wikipedia.org/wiki/Gabriel Naudé,166565.0
12,Q3365710,Anders Bille,1600-03-19T00:00:00Z,,,1657-11-10T00:00:00Z,https://en.wikipedia.org/wiki/Anders Bille,8642220.0
13,Q2439297,Johan Evertsen,1600-02-01T00:00:00Z,Vlissingen,Point(3.583333333 51.45),1666-08-05T00:00:00Z,https://en.wikipedia.org/wiki/Johan Evertsen,29907321.0
14,Q170800,Pedro Calderón de la Barca,1600-01-17T00:00:00Z,Madrid,Point(-3.691944444 40.418888888),1681-05-25T00:00:00Z,https://en.wikipedia.org/wiki/Pedro Calderón de la Barca,217358.0
15,Q1891427,Manuel António of Portugal,1600-02-24T00:00:00Z,Delft,Point(4.359444444 52.011944444),1666-10-27T00:00:00Z,https://en.wikipedia.org/wiki/Manuel António of Portugal,37154539.0
