,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q4719994,Alexander Ruthven,1580-01-22T00:00:00Z,,,1600-08-05T00:00:00Z,https://en.wikipedia.org/wiki/Alexander Ruthven,7827388.0
1,Q79972,James VI and I,1566-06-29T00:00:00Z,Edinburgh,Point(-3.198888888 55.95),1625-04-06T00:00:00Z,https://en.wikipedia.org/wiki/James VI and I,269055.0
2,Q171977,Tokugawa Ieyasu,1543-02-10T00:00:00Z,Okazaki Castle,Point(137.158888888 34.956388888),1616-06-01T00:00:00Z,https://en.wikipedia.org/wiki/Tokugawa Ieyasu,31183.0
3,Q150586,"Rudolf II, Holy Roman Emperor",1552-07-28T00:00:00Z,Vienna,Point(16.373064 48.20833),1612-01-20T00:00:00Z,"https://en.wikipedia.org/wiki/Rudolf II, Holy Roman Emperor",26054.0
4,Q386548,Dionysius the Philosopher,1541-01-01T00:00:00Z,,,1611-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Dionysios Skylosophos,4477135.0
5,Q386548,Dionysius the Philosopher,1560-01-01T00:00:00Z,,,1611-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Dionysios Skylosophos,4477135.0
6,Q1965275,"John Ruthven, 3rd Earl of Gowrie",1577-01-01T00:00:00Z,Perth,Point(-3.431666666 56.395277777),1600-08-05T00:00:00Z,"https://en.wikipedia.org/wiki/John Ruthven, 3rd Earl of Gowrie",1313416.0
7,Q936976,Henry IV of France,1553-12-23T00:00:00Z,Château de Pau,Point(-0.375 43.294722222),1610-05-14T00:00:00Z,https://en.wikipedia.org/wiki/Henry IV of France,57876.0
8,Q205519,Jacopo Peri,1561-08-30T00:00:00Z,Rome,Point(12.482777777 41.893055555),1633-08-12T00:00:00Z,https://en.wikipedia.org/wiki/Jacopo Peri,161918.0
9,Q360436,Emilio de' Cavalieri,1550-01-01T00:00:00Z,Rome,Point(12.482777777 41.893055555),1602-03-11T00:00:00Z,https://en.wikipedia.org/wiki/Emilio de' Cavalieri,943323.0
