,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q555476,José de Acosta,1540-01-01T00:00:00Z,Medina del Campo,Point(-4.9150523 41.3085254),1600-02-15T00:00:00Z,https://en.wikipedia.org/wiki/José de Acosta,201202.0
1,Q4965095,Esperanza Malchi,1501-01-01T00:00:00Z,,,1600-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Esperanza Malchi,28299722.0
2,Q941634,Jerzy Radziwiłł,1556-06-10T00:00:00Z,Vilnius,Point(25.283333333 54.683333333),1600-01-21T00:00:00Z,https://en.wikipedia.org/wiki/Jerzy Radziwiłł (1556–1600),2156930.0
3,Q1530410,Thomas Deloney,1543-01-01T00:00:00Z,London,Point(-0.1275 51.507222222),1600-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Thomas Deloney,998878.0
4,Q5789836,John Spencer,1549-01-01T00:00:00Z,Althorp,Point(-1.00207 52.2802),1600-01-01T00:00:00Z,https://en.wikipedia.org/wiki/John Spencer (died 1600),37516665.0
5,Q3735611,Gustaf Banér,1547-05-19T00:00:00Z,Djursholm Castle,Point(18.08916667 59.40138889),1600-03-20T00:00:00Z,https://en.wikipedia.org/wiki/Gustaf Banér,8954877.0
6,Q102338,Johann Major,1533-01-02T00:00:00Z,Jáchymov,Point(12.934739261 50.358572498),1600-03-16T00:00:00Z,https://en.wikipedia.org/wiki/Johann Major,32345054.0
7,Q102338,Johann Major,1533-01-12T00:00:00Z,Jáchymov,Point(12.934739261 50.358572498),1600-03-16T00:00:00Z,https://en.wikipedia.org/wiki/Johann Major,32345054.0
8,Q102338,Johann Major,1533-01-02T00:00:00Z,Jáchymov,Point(12.934739261 50.358572498),1600-03-06T00:00:00Z,https://en.wikipedia.org/wiki/Johann Major,32345054.0
9,Q102338,Johann Major,1533-01-12T00:00:00Z,Jáchymov,Point(12.934739261 50.358572498),1600-03-06T00:00:00Z,https://en.wikipedia.org/wiki/Johann Major,32345054.0
10,Q36330,Giordano Bruno,1548-01-01T00:00:00Z,Nola,Point(14.533333333 40.933333333),1600-02-17T00:00:00Z,https://en.wikipedia.org/wiki/Giordano Bruno,12963.0
11,Q563306,Caspar Hennenberger,1529-01-01T00:00:00Z,,,1600-02-29T00:00:00Z,https://en.wikipedia.org/wiki/Caspar Hennenberger,19375810.0
12,Q2486114,Sebastian de Aparicio,1502-01-30T00:00:00Z,A Gudiña,Point(-7.138055555 42.060833333),1600-02-25T00:00:00Z,https://en.wikipedia.org/wiki/Sebastian de Aparicio,38640003.0
13,Q603277,"John Frederick, Duke of Pomerania",1542-08-27T00:00:00Z,Wolgast,Point(13.766666666 54.05),1600-02-09T00:00:00Z,"https://en.wikipedia.org/wiki/John Frederick, Duke of Pomerania",23550859.0
14,Q603277,"John Frederick, Duke of Pomerania",1542-09-06T00:00:00Z,Wolgast,Point(13.766666666 54.05),1600-02-09T00:00:00Z,"https://en.wikipedia.org/wiki/John Frederick, Duke of Pomerania",23550859.0
