,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q388699,Antoine de Laloubère,1600-08-24T00:00:00Z,Auch,Point(0.588611111 43.645277777),1664-09-02T00:00:00Z,https://en.wikipedia.org/wiki/Antoine de Laloubère,564925
1,Q7527299,"Sir Hugh Cholmeley, 1st Baronet",1600-01-01T00:00:00Z,,,1657-01-01T00:00:00Z,"https://en.wikipedia.org/wiki/Sir Hugh Cholmeley, 1st Baronet",8792951
2,Q934879,Hermann Busenbaum,1600-09-19T00:00:00Z,Nottuln,Point(7.354166666 51.927777777),1668-01-31T00:00:00Z,https://en.wikipedia.org/wiki/Hermann Busenbaum,2312328
3,Q934879,Hermann Busenbaum,1600-09-19T00:00:00Z,Nottuln,Point(7.3534 51.9269),1668-01-31T00:00:00Z,https://en.wikipedia.org/wiki/Hermann Busenbaum,2312328
4,Q307,Galileo Galilei,1564-02-25T00:00:00Z,Pisa,Point(10.4 43.716666666),1642-01-08T00:00:00Z,https://en.wikipedia.org/wiki/Galileo Galilei,29688374
5,Q725197,Loreto Vittori,1600-01-16T00:00:00Z,Spoleto,Point(12.733333333 42.733333333),1670-04-23T00:00:00Z,https://en.wikipedia.org/wiki/Loreto Vittori,33473210
6,Q6258922,John Stawell,1600-08-29T00:00:00Z,Cothelstone Manor,Point(-3.16989 51.0797),1662-02-21T00:00:00Z,https://en.wikipedia.org/wiki/John Stawell,28004505
7,Q5539762,George Gobat,1600-08-01T00:00:00Z,Charmoille,Point(6.670833333 47.245833333),1679-03-23T00:00:00Z,https://en.wikipedia.org/wiki/George Gobat,18526969
8,Q5539762,George Gobat,1600-07-01T00:00:00Z,Charmoille,Point(6.670833333 47.245833333),1679-03-23T00:00:00Z,https://en.wikipedia.org/wiki/George Gobat,18526969
9,Q3123699,Maria Celeste,1600-08-16T00:00:00Z,Padua,Point(11.877777777 45.406388888),1634-04-02T00:00:00Z,https://en.wikipedia.org/wiki/Maria Celeste,1388082
10,Q91712,Eleonore Marie of Anhalt-Bernburg,1600-08-07T00:00:00Z,Amberg,Point(11.848333333 49.444444444),1657-07-17T00:00:00Z,https://en.wikipedia.org/wiki/Eleonore Marie of Anhalt-Bernburg,36291012
11,Q7526499,"Sir Edward Acton, 1st Baronet",1600-07-20T00:00:00Z,,,1659-06-29T00:00:00Z,"https://en.wikipedia.org/wiki/Sir Edward Acton, 1st Baronet",7159740
12,Q7529034,"Sir Thomas Aston, 1st Baronet",1600-09-29T00:00:00Z,,,1645-03-24T00:00:00Z,"https://en.wikipedia.org/wiki/Sir Thomas Aston, 1st Baronet",9610458
13,Q118348,"John Frederick, Duke of Saxe-Weimar",1600-09-19T00:00:00Z,Altenburg,Point(12.433333333 50.985),1628-10-17T00:00:00Z,"https://en.wikipedia.org/wiki/John Frederick, Duke of Saxe-Weimar",34494458
14,Q673168,Michel de Marolles,1600-07-22T00:00:00Z,Genillé,Point(1.095277777 47.185555555),1681-03-06T00:00:00Z,https://en.wikipedia.org/wiki/Michel de Marolles,20529201
15,Q2116464,Jan Cossiers,1600-07-15T00:00:00Z,Antwerp,Point(4.399722222 51.221111111),1671-07-04T00:00:00Z,https://en.wikipedia.org/wiki/Jan Cossiers,14138315
16,Q5480091,Francis Bacon,1600-10-10T00:00:00Z,,,1663-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Francis Bacon (Ipswich MP),14468217
