,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q546528,Aniello Falcone,1607-11-15T00:00:00Z,Naples,Point(14.25 40.833333333),1656-07-14T00:00:00Z,https://en.wikipedia.org/wiki/Aniello Falcone,372677.0
1,Q546528,Aniello Falcone,1607-11-15T00:00:00Z,Naples,Point(14.25 40.833333333),1665-07-14T00:00:00Z,https://en.wikipedia.org/wiki/Aniello Falcone,372677.0
2,Q1229189,Giovanni Paolo Oliva,1600-10-04T00:00:00Z,Genoa,Point(8.933983333 44.407186111),1681-11-26T00:00:00Z,https://en.wikipedia.org/wiki/Giovanni Paolo Oliva,4973288.0
3,Q502162,Nicolas Sanson,1600-12-20T00:00:00Z,Abbeville,Point(1.835277777 50.105277777),1667-07-07T00:00:00Z,https://en.wikipedia.org/wiki/Nicolas Sanson,3045258.0
4,Q502162,Nicolas Sanson,1600-01-01T00:00:00Z,Abbeville,Point(1.835277777 50.105277777),1667-07-07T00:00:00Z,https://en.wikipedia.org/wiki/Nicolas Sanson,3045258.0
5,Q502162,Nicolas Sanson,1600-12-20T00:00:00Z,Abbeville,Point(1.835277777 50.105277777),1667-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Nicolas Sanson,3045258.0
6,Q502162,Nicolas Sanson,1600-01-01T00:00:00Z,Abbeville,Point(1.835277777 50.105277777),1667-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Nicolas Sanson,3045258.0
7,Q5280819,Dirk Graswinckel,1600-09-03T00:00:00Z,,,1666-10-12T00:00:00Z,https://en.wikipedia.org/wiki/Dirk Graswinckel,20664792.0
8,Q438615,Marie de Rohan,1600-12-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),1679-08-12T00:00:00Z,https://en.wikipedia.org/wiki/Marie de Rohan,1473957.0
9,Q1375332,Lieuwe van Aitzema,1600-11-19T00:00:00Z,Dokkum,Point(5.9989 53.3253),1669-02-23T00:00:00Z,https://en.wikipedia.org/wiki/Lieuwe van Aitzema,1714038.0
10,Q23620557,Petronio Veroni,1600-10-12T00:00:00Z,Bologna,Point(11.342777777 44.493888888),1653-05-21T00:00:00Z,https://en.wikipedia.org/wiki/Petronio Veroni,49371814.0
11,Q81506,Charles I of England,1600-11-29T00:00:00Z,Dunfermline Palace,Point(-3.46461 56.0695),1649-02-09T00:00:00Z,https://en.wikipedia.org/wiki/Charles I of England,7426.0
12,Q4562022,Selius Marselis,1600-12-15T00:00:00Z,Rotterdam,Point(4.47917 51.9225),1663-03-20T00:00:00Z,https://en.wikipedia.org/wiki/Selius Marselis,38505552.0
13,Q1389271,John Ogilby,1600-11-17T00:00:00Z,,,1676-09-04T00:00:00Z,https://en.wikipedia.org/wiki/John Ogilby,142651.0
14,Q2058977,Denis of the Nativity,1600-12-12T00:00:00Z,Honfleur,Point(0.233055555 49.418888888),1638-11-27T00:00:00Z,https://en.wikipedia.org/wiki/Denis of the Nativity,26907343.0
