,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q1133872,Shimazu Toyohisa,1570-01-01T00:00:00Z,,,1600-10-21T00:00:00Z,https://en.wikipedia.org/wiki/Shimazu Toyohisa,17664240
1,Q1067605,Toda Katsushige,1557-01-01T00:00:00Z,,,1600-10-21T00:00:00Z,https://en.wikipedia.org/wiki/Toda Katsushige,1718912
2,Q501498,Margrave Andrew of Burgau,1558-06-25T00:00:00Z,Březnice,Point(13.950670501 49.557721273),1600-11-12T00:00:00Z,https://en.wikipedia.org/wiki/Margrave Andrew of Burgau,37401094
3,Q1926883,Shima Sakon,1540-06-19T00:00:00Z,Heguri,Point(135.700555555 34.629166666),1600-10-21T00:00:00Z,https://en.wikipedia.org/wiki/Shima Sakon,9966818
4,Q443783,Richard Hooker,1554-03-01T00:00:00Z,Heavitree,Point(-3.50543 50.7214),1600-11-03T00:00:00Z,https://en.wikipedia.org/wiki/Richard Hooker,23399049
5,Q334107,Ishida Mitsunari,1559-09-01T00:00:00Z,Ōmi Province,Point(136.12388889 35.21138889),1600-11-06T00:00:00Z,https://en.wikipedia.org/wiki/Ishida Mitsunari,315508
6,Q69151,Nicolaus Reimers,1551-02-12T00:00:00Z,Hennstedt,Point(9.166666666 54.266666666),1600-10-16T00:00:00Z,https://en.wikipedia.org/wiki/Nicolaus Reimers,5031224
7,Q66645,"Charles I, Count Palatine of Zweibrücken-Birkenfeld",1560-09-04T00:00:00Z,Neuburg an der Donau,Point(11.183333333 48.733333333),1600-12-16T00:00:00Z,"https://en.wikipedia.org/wiki/Charles I, Count Palatine of Zweibrücken-Birkenfeld",21437497
8,Q921113,Kuki Yoshitaka,1542-01-01T00:00:00Z,,,1600-11-17T00:00:00Z,https://en.wikipedia.org/wiki/Kuki Yoshitaka,1339387
9,Q676768,Cornelis de Jode,1568-01-01T00:00:00Z,Antwerp,Point(4.399722222 51.221111111),1600-10-17T00:00:00Z,https://en.wikipedia.org/wiki/Cornelis de Jode,21888481
10,Q436077,Luis de Molina,1535-09-29T00:00:00Z,Cuenca,Point(-2.135 40.071666666),1600-10-12T00:00:00Z,https://en.wikipedia.org/wiki/Luis de Molina,2361022
11,Q942553,Konishi Yukinaga,1555-01-01T00:00:00Z,Sakai,Point(135.483333333 34.566666666),1600-11-06T00:00:00Z,https://en.wikipedia.org/wiki/Konishi Yukinaga,1580612
12,Q386265,Ōtani Yoshitsugu,1559-01-01T00:00:00Z,Shiga Prefecture,Point(135.8685 35.004361111),1600-10-21T00:00:00Z,https://en.wikipedia.org/wiki/Ōtani Yoshitsugu,5312074
13,Q99333,Sigmund Fugger von Kirchberg und Weißenhorn,1542-01-01T00:00:00Z,Augsburg,Point(10.898333333 48.371666666),1600-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Sigmund Fugger von Kirchberg und Weißenhorn,29273241
14,Q6301088,"Juan Téllez-Girón, 2nd Duke of Osuna",1559-01-01T00:00:00Z,,,1600-11-25T00:00:00Z,"https://en.wikipedia.org/wiki/Juan Téllez-Girón, 2nd Duke of Osuna",23298101
15,Q3182715,Nanda Bayin,1535-11-19T00:00:00Z,Taungoo,Point(96.43333333 18.93333333),1600-11-30T00:00:00Z,https://en.wikipedia.org/wiki/Nanda Bayin,13232895
16,Q7358733,"Roger North, 2nd Baron North",1530-01-01T00:00:00Z,London,Point(-0.1275 51.507222222),1600-12-03T00:00:00Z,"https://en.wikipedia.org/wiki/Roger North, 2nd Baron North",26513688
17,Q8190311,Natsuka Masaie,1562-01-01T00:00:00Z,,,1600-11-08T00:00:00Z,https://en.wikipedia.org/wiki/Natsuka Masaie,1635882
