,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q153643,Heinrich Schütz,1585-10-18T00:00:00Z,Bad Köstritz,Point(12.009722222 50.930555555),1672-11-06T00:00:00Z,https://en.wikipedia.org/wiki/Heinrich Schütz,155764
1,Q153643,Heinrich Schütz,1585-10-14T00:00:00Z,Bad Köstritz,Point(12.009722222 50.930555555),1672-11-06T00:00:00Z,https://en.wikipedia.org/wiki/Heinrich Schütz,155764
2,Q153643,Heinrich Schütz,1585-10-08T00:00:00Z,Bad Köstritz,Point(12.009722222 50.930555555),1672-11-06T00:00:00Z,https://en.wikipedia.org/wiki/Heinrich Schütz,155764
3,Q9695,Henry Purcell,1659-09-10T00:00:00Z,Westminster,Point(-0.1333 51.4995),1695-11-21T00:00:00Z,https://en.wikipedia.org/wiki/Henry Purcell,14135
4,Q57829,Johann Christoph Bach I,1642-12-06T00:00:00Z,Arnstadt,Point(10.946388888 50.834166666),1703-03-31T00:00:00Z,https://en.wikipedia.org/wiki/Johann Christoph Bach,2157868
5,Q153637,Dietrich Buxtehude,1637-01-01T00:00:00Z,Helsingborg,Point(12.720996359 56.042411686),1707-05-09T00:00:00Z,https://en.wikipedia.org/wiki/Dieterich Buxtehude,87145
6,Q76485,Johann Pachelbel,1653-09-01T00:00:00Z,Nuremberg,Point(11.077777777 49.452777777),1706-03-03T00:00:00Z,https://en.wikipedia.org/wiki/Johann Pachelbel,60587
7,Q55524,Marc-Antoine Charpentier,1643-01-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),1704-02-24T00:00:00Z,https://en.wikipedia.org/wiki/Marc-Antoine Charpentier,82232
8,Q164475,Arcangelo Corelli,1653-02-17T00:00:00Z,Fusignano,Point(11.95 44.466666666),1713-01-08T00:00:00Z,https://en.wikipedia.org/wiki/Arcangelo Corelli,44660
9,Q108062,Francesco Cavalli,1602-02-14T00:00:00Z,Crema,Point(9.683333333 45.366666666),1676-01-14T00:00:00Z,https://en.wikipedia.org/wiki/Francesco Cavalli,103251
10,Q311110,John Blow,1649-01-01T00:00:00Z,Nottinghamshire,Point(-1.0 53.166666666),1708-10-01T00:00:00Z,https://en.wikipedia.org/wiki/John Blow,164131
11,Q183087,Alessandro Scarlatti,1660-05-02T00:00:00Z,Palermo,Point(13.361262 38.115658),1725-10-24T00:00:00Z,https://en.wikipedia.org/wiki/Alessandro Scarlatti,2363
12,Q1192,Jean-Baptiste Lully,1632-11-28T00:00:00Z,Florence,Point(11.254166666 43.771388888),1687-03-22T00:00:00Z,https://en.wikipedia.org/wiki/Jean-Baptiste Lully,23474985
13,Q53068,Claudio Monteverdi,1567-05-15T00:00:00Z,Cremona,Point(10.033333333 45.133333333),1643-11-29T00:00:00Z,https://en.wikipedia.org/wiki/Claudio Monteverdi,6226
