,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q108206,John Bunyan,1628-11-01T00:00:00Z,Elstow,Point(-0.464869444 52.106961111),1688-08-31T00:00:00Z,https://en.wikipedia.org/wiki/John Bunyan,39661.0
1,Q193857,Ben Jonson,1572-07-01T00:00:00Z,Westminster,Point(-0.1333 51.4995),1637-08-06T00:00:00Z,https://en.wikipedia.org/wiki/Ben Jonson,48261.0
2,Q273708,François de La Rochefoucauld,1613-09-15T00:00:00Z,Paris,Point(2.351388888 48.856944444),1680-03-17T00:00:00Z,https://en.wikipedia.org/wiki/François de La Rochefoucauld (writer),287047.0
3,Q742,Jean Racine,1639-12-21T00:00:00Z,La Ferté-Milon,Point(3.123888888 49.178333333),1699-04-21T00:00:00Z,https://en.wikipedia.org/wiki/Jean Racine,52201.0
4,Q747,Pierre Corneille,1606-06-06T00:00:00Z,Rouen,Point(1.1025 49.443055555),1684-10-01T00:00:00Z,https://en.wikipedia.org/wiki/Pierre Corneille,58193.0
5,Q295598,Tirso de Molina,1579-04-03T00:00:00Z,Madrid,Point(-3.691944444 40.418888888),1648-02-20T00:00:00Z,https://en.wikipedia.org/wiki/Tirso de Molina,217378.0
6,Q49496,Jean de La Fontaine,1621-07-08T00:00:00Z,Château-Thierry,Point(3.403055555 49.046388888),1695-04-13T00:00:00Z,https://en.wikipedia.org/wiki/Jean de La Fontaine,60256.0
7,Q213355,John Dryden,1631-08-19T00:00:00Z,Aldwincle,Point(-0.522222222 52.425),1700-05-12T00:00:00Z,https://en.wikipedia.org/wiki/John Dryden,59378.0
8,Q165257,Lope de Vega,1562-12-05T00:00:00Z,Madrid,Point(-3.691944444 40.418888888),1635-08-27T00:00:00Z,https://en.wikipedia.org/wiki/Lope de Vega,379771.0
9,Q188857,Nicolas Boileau-Despréaux,1636-11-01T00:00:00Z,Paris,Point(2.351388888 48.856944444),1711-03-13T00:00:00Z,https://en.wikipedia.org/wiki/Nicolas Boileau-Despréaux,165163.0
10,Q687,Molière,1622-01-15T00:00:00Z,Paris,Point(2.351388888 48.856944444),1673-02-17T00:00:00Z,https://en.wikipedia.org/wiki/Molière,51465.0
11,Q213614,Cyrano de Bergerac,1619-03-06T00:00:00Z,Paris,Point(2.351388888 48.856944444),1655-07-28T00:00:00Z,https://en.wikipedia.org/wiki/Cyrano de Bergerac,70369.0
12,Q106143,Samuel Pepys,1633-02-23T00:00:00Z,City of London,Point(-0.093055555 51.515555555),1703-05-26T00:00:00Z,https://en.wikipedia.org/wiki/Samuel Pepys,27808.0
13,Q219744,Luis de Góngora,1561-07-11T00:00:00Z,Córdoba,Point(-4.766666666 37.883333333),1627-05-25T00:00:00Z,https://en.wikipedia.org/wiki/Luis de Góngora,269775.0
14,Q219744,Luis de Góngora,1561-07-11T00:00:00Z,Córdoba,Point(-4.766666666 37.883333333),1627-05-23T00:00:00Z,https://en.wikipedia.org/wiki/Luis de Góngora,269775.0
15,Q219744,Luis de Góngora,1561-07-11T00:00:00Z,Córdoba,Point(-4.766666666 37.883333333),1627-03-23T00:00:00Z,https://en.wikipedia.org/wiki/Luis de Góngora,269775.0
16,Q193344,Miyamoto Musashi,1584-03-01T00:00:00Z,Harima Province,Point(134.66972222 34.97138889),1645-05-19T00:00:00Z,https://en.wikipedia.org/wiki/Miyamoto Musashi,19381.0
17,Q140412,John Donne,1572-01-01T00:00:00Z,London,Point(-0.1275 51.507222222),1631-03-31T00:00:00Z,https://en.wikipedia.org/wiki/John Donne,15838.0
18,Q183074,Juana Inés de la Cruz,1651-11-12T00:00:00Z,Nepantla de Sor Juana Inés de la Cruz,Point(-98.8408 18.9803),1695-04-17T00:00:00Z,https://en.wikipedia.org/wiki/Juana Inés de la Cruz,363533.0
19,Q183074,Juana Inés de la Cruz,1651-11-12T00:00:00Z,Nepantla de Sor Juana Inés de la Cruz,Point(-98.84083 18.98028),1695-04-17T00:00:00Z,https://en.wikipedia.org/wiki/Juana Inés de la Cruz,363533.0
20,Q5676,Matsuo Bashō,1644-01-01T00:00:00Z,Bashō's birth house,Point(136.135453 34.768621),1694-11-28T00:00:00Z,https://en.wikipedia.org/wiki/Matsuo Bashō,90625.0
21,Q128460,Charles Perrault,1628-01-12T00:00:00Z,Paris,Point(2.351388888 48.856944444),1703-05-16T00:00:00Z,https://en.wikipedia.org/wiki/Charles Perrault,87644.0
22,Q201315,Francisco Quevedo,1580-09-27T00:00:00Z,Madrid,Point(-3.691944444 40.418888888),1645-09-08T00:00:00Z,https://en.wikipedia.org/wiki/Francisco de Quevedo,291311.0
23,Q170800,Pedro Calderón de la Barca,1600-01-17T00:00:00Z,Madrid,Point(-3.691944444 40.418888888),1681-05-25T00:00:00Z,https://en.wikipedia.org/wiki/Pedro Calderón de la Barca,217358.0
24,Q692,William Shakespeare,1564-04-01T00:00:00Z,Stratford-upon-Avon,Point(-1.706388888 52.192777777),1616-05-03T00:00:00Z,https://en.wikipedia.org/wiki/William Shakespeare,32897.0
25,Q79759,John Milton,1608-12-19T00:00:00Z,Cheapside,Point(-0.0937 51.5141),1674-11-18T00:00:00Z,https://en.wikipedia.org/wiki/John Milton,16215.0
