,wikidata_id,label,birth_date,birthplace,birthplace_coordinate,death_date,page_url,page_id
0,Q212657,Artemisia Gentileschi,1593-07-08T00:00:00Z,Rome,Point(12.482777777 41.893055555),1653-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Artemisia Gentileschi,774547.0
1,Q212657,Artemisia Gentileschi,1593-07-08T00:00:00Z,Rome,Point(12.482777777 41.893055555),1652-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Artemisia Gentileschi,774547.0
2,Q170373,Christopher Wren,1631-01-01T00:00:00Z,East Knoyle,Point(-2.177222222 51.078888888),1723-03-08T00:00:00Z,https://en.wikipedia.org/wiki/Christopher Wren,52946.0
3,Q170373,Christopher Wren,1632-10-20T00:00:00Z,East Knoyle,Point(-2.177222222 51.078888888),1723-03-08T00:00:00Z,https://en.wikipedia.org/wiki/Christopher Wren,52946.0
4,Q209615,Francisco de Zurbarán,1598-11-07T00:00:00Z,Fuente de Cantos,Point(-6.309166666 38.246666666),1664-08-27T00:00:00Z,https://en.wikipedia.org/wiki/Francisco de Zurbarán,646434.0
5,Q109061,Guido Reni,1575-11-04T00:00:00Z,Bologna,Point(11.342777777 44.493888888),1642-08-18T00:00:00Z,https://en.wikipedia.org/wiki/Guido Reni,605079.0
6,Q41264,Johannes Vermeer,1632-10-31T00:00:00Z,Delft,Point(4.359444444 52.011944444),1675-12-15T00:00:00Z,https://en.wikipedia.org/wiki/Johannes Vermeer,43311.0
7,Q273849,André Le Nôtre,1613-03-12T00:00:00Z,Paris,Point(2.351388888 48.856944444),1700-09-15T00:00:00Z,https://en.wikipedia.org/wiki/André Le Nôtre,8873375.0
8,Q150679,Anthony van Dyck,1599-03-22T00:00:00Z,Antwerp,Point(4.399722222 51.221111111),1641-12-09T00:00:00Z,https://en.wikipedia.org/wiki/Anthony van Dyck,294462.0
9,Q41554,Nicolas Poussin,1594-06-01T00:00:00Z,Les Andelys,Point(1.411666666 49.245555555),1665-11-19T00:00:00Z,https://en.wikipedia.org/wiki/Nicolas Poussin,62131.0
10,Q205863,Jan Steen,1626-01-01T00:00:00Z,Leiden,Point(4.494722222 52.154444444),1679-02-03T00:00:00Z,https://en.wikipedia.org/wiki/Jan Steen,227132.0
11,Q192062,Bartolomé Esteban Murillo,1617-12-01T00:00:00Z,Seville,Point(-5.983333333 37.383333333),1682-04-01T00:00:00Z,https://en.wikipedia.org/wiki/Bartolomé Esteban Murillo,176037.0
12,Q203371,Georges de La Tour,1593-03-13T00:00:00Z,Vic-sur-Seille,Point(6.531388888 48.782222222),1652-01-30T00:00:00Z,https://en.wikipedia.org/wiki/Georges de La Tour,899342.0
13,Q297,Diego Velázquez,1599-06-06T00:00:00Z,Seville,Point(-5.983333333 37.383333333),1660-08-06T00:00:00Z,https://en.wikipedia.org/wiki/Diego Velázquez,77423.0
14,Q123150,Francesco Borromini,1599-09-25T00:00:00Z,Bissone,Point(8.966666666 45.95),1667-08-03T00:00:00Z,https://en.wikipedia.org/wiki/Francesco Borromini,11125.0
15,Q160538,Gian Lorenzo Bernini,1598-12-07T00:00:00Z,Naples,Point(14.25 40.833333333),1680-11-28T00:00:00Z,https://en.wikipedia.org/wiki/Gian Lorenzo Bernini,12635.0
16,Q271676,Charles Le Brun,1619-02-24T00:00:00Z,Paris,Point(2.351388888 48.856944444),1690-02-12T00:00:00Z,https://en.wikipedia.org/wiki/Charles Le Brun,195487.0
17,Q167654,Frans Hals,1580-01-01T00:00:00Z,Antwerp,Point(4.399722222 51.221111111),1666-08-29T00:00:00Z,https://en.wikipedia.org/wiki/Frans Hals,46089.0
18,Q167654,Frans Hals,1580-01-01T00:00:00Z,Antwerp,Point(4.399722222 51.221111111),1666-08-26T00:00:00Z,https://en.wikipedia.org/wiki/Frans Hals,46089.0
19,Q5599,Peter Paul Rubens,1577-07-08T00:00:00Z,Siegen,Point(8.016666666 50.875555555),1640-05-30T00:00:00Z,https://en.wikipedia.org/wiki/Peter Paul Rubens,21463370.0
